ProjectAccession,Instrument,Quantification Method,Software,PTM
PXD008113,MS:1001911,,,MOD:00394
PXD007579,MS:1000201,,,MOD:00425|MOD:01160|MOD:00397|MOD:00400
PXD007585,MS:1002417|MS:1001742,PRIDE:0000315,,MOD:00544
PXD007681,MS:1001910,,,UNIMOD:4
PXD007569,MS:1001742,,,MOD:00696|MOD:00719|MOD:00399
PXD007589,MS:1000449,,,MOD:00696|MOD:00493|MOD:00394|MOD:01996|MOD:01894
PXD007688,MS:1001910,,,UNIMOD:28|UNIMOD:1290|UNIMOD:27|UNIMOD:7|UNIMOD:526|UNIMOD:4|UNIMOD:35|UNIMOD:1
PXD006196,MS:1002634|MS:1001911,PRIDE:0000313|PRIDE:0000314,,MOD:01720|MOD:00397|MOD:01499
PXD007624,MS:1001911,PRIDE:0000437,,MOD:00400
PXD009748,MS:1001742,PRIDE:0000312,,MOD:00425|MOD:00394
PXD011908,MS:1001742,PRIDE:0000436,,MOD:00425|MOD:00397
PXD007641,MS:1001911,,,MOD:00425|MOD:00394|MOD:00397
PXD007714,MS:1002634|MS:1000449,PRIDE:0000323,,MOD:00425|MOD:00696|MOD:00397|MOD:00400
PXD007591,MS:1001742,,,MOD:00425|MOD:00394|MOD:00397
PXD010175,MS:1001911,PRIDE:0000314,,MOD:00397
PXD010171,MS:1002416,,,MOD:00425|MOD:00397|MOD:00400
PXD008443,MS:1000449,,,MOD:00425|MOD:00696|MOD:01153
PXD007698,MS:1001911,,,MOD:00425|MOD:00394|MOD:00397
PXD007655,MS:1000449,PRIDE:0000314,,MOD:01720|MOD:00425|MOD:00397
PXD007861,MS:1002416,PRIDE:0000314,,MOD:00397
PXD007034,MS:1002416,PRIDE:0000425,,PRIDE:0000398
PXD007570,MS:1001742,PRIDE:0000315,,MOD:00425|MOD:00397
PXD007592,MS:1002523,,,MOD:00024|MOD:00894|UNIMOD:4|UNIMOD:35|UNIMOD:1
PXD007643,MS:1001911,,,UNIMOD:28|UNIMOD:4|UNIMOD:35
PXD007646,MS:1001910|MS:1000187|MS:1001911,PRIDE:0000436,,PRIDE:0000398
PXD007650,MS:1001911,,,MOD:00425|MOD:00397
PXD007691,MS:1001911,PRIDE:0000313,,MOD:00429|MOD:00397
PXD007651,MS:1001911,,,MOD:00394
PXD007664,MS:1001910,,,MOD:00425|MOD:00400
PXD007629,MS:1001911,,,MOD:00696|MOD:00040|MOD:00420|MOD:00397|MOD:00400|MOD:00492
